"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/oi+coffee+%26+eatery/data=!4m7!3m6!1s0x2e69edfedc95fb0f:0x31a3503147a83394!8m2!3d-6.3541917!4d106.8368023!16s%2Fg%2F11m379k1l9!19sChIJD_uV3P7taS4RlDOoRzFQozE?authuser=0&hl=id&rclk=1","oi coffee & eatery","4,8","(2.593)","·","Rp 25–50 rb","Kedai Kopi","·","","·","Ruko River View Jl. Komjen. Pol. M. Jasin No.1","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGtMprW1v5Ws3_gFMGCb4Ro0ZA8XkC1rJr4RcopPaGCYAsz-y4tgm1BggHXauHwR4HqgQp9Bt7i-IMaOu89ulOwZbuQqO2lNZohr0xFOcWF5iuO8Fjs48_T6M_jJS4mIWOdY2K=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Range harga makanan sekitar 30-50ribu, minuman sekitar 20-30ribu""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFtMzc5azFsORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=3az4aeuTGc-MseMPnJTl0Ak&ei=3az4aeuTGc-MseMPnJTl0Ak&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/Suar+Ruang+Coffee+Ground/data=!4m7!3m6!1s0x2e69ede2575fbf5d:0x58840dcd54d90d65!8m2!3d-6.3600321!4d106.8211763!16s%2Fg%2F11pd4hh80h!19sChIJXb9fV-LtaS4RZQ3ZVM0NhFg?authuser=0&hl=id&rclk=1","Suar Ruang Coffee Ground","4,7","(286)","·","Rp 25–50 rb","Kedai Kopi","·","","Jl. H. Amat No.2","","Buka","· Tutup pukul 23.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEHO4niCSWM1sdMQu_a-vOygFEAZJPqZIwqjWjD5cRbDX8t36mar1rkAwG0Y7_yFS2UaNfojQx9x6uEwAFNHXu5Z3VodlVM152bCISmq35CoEtAy_ZRltZoGY2wa6Ls3A4oxsx0=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga makanan & minumannya affordable, lokasi nya ada di belakang UI.""","","",""
"https://www.google.com/maps/place/Twin+House+Depok,+FISIP+UI/data=!4m7!3m6!1s0x2e69ed018ad15049:0x3d4d89824319aa0b!8m2!3d-6.3614721!4d106.8295012!16s%2Fg%2F11mlwzgcjc!19sChIJSVDRigHtaS4RC6oZQ4KJTT0?authuser=0&hl=id&rclk=1","Twin House Depok, FISIP UI","5,0","(14)","·","Rp 25–50 rb","Kedai Kopi","·","","Universitas Indonesia, Fakultas Ilmu Sosial dan Ilmu Politik, FISIP UI Jl. Prof. DR. Selo Soemardjan","","Segera tutup","· 22.00 · Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxDGEOBPGMUpxmjdjRajlw1cXzk8ZFTUqrgX48SUjR5nDlXkfucW-AMP66imTIwdi5dgUQQ5lrKjYtbJ9UxIF-uCITEcj9FXpl2ELMI1FDqndBoTJ8U3S6Qx-EASvnXRSNRwp5-Ges3-Oc=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Chicken popcorn & chicken steak very recommended.""","","",""
"https://www.google.com/maps/place/Kopi+Merah+Putih+UI/data=!4m7!3m6!1s0x2e69ef0affbe44cd:0x92e619361e26be32!8m2!3d-6.3608378!4d106.8166458!16s%2Fg%2F11vq3v67m4!19sChIJzUS-_wrvaS4RMr4mHjYZ5pI?authuser=0&hl=id&rclk=1","Kopi Merah Putih UI","4,9","(211)","·","Rp 1–25.000","Kedai Kopi","·","","·","Jl. K.H.M. Usman No. 48 RT 001/004","Buka","· Tutup pukul 02.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH7XigxmPOkNWLuPN9REx8Q1sm5ZeQ8uUP_M_xK4L-NkuGbcgTzDr3_7NP6Lhkd6m2QhhrP4XNZb382nU0BEnxN-LcRzqHX9jEnwjf_53zkGb22ZTIUDQtPCDSJSf2GxJanXGiJ9hB37r8J=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""kopi susu nya enak,dimsum enak dan nasi timbel enak mntp""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2cTN2NjdtNBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=3az4aeuTGc-MseMPnJTl0Ak&ei=3az4aeuTGc-MseMPnJTl0Ak&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online",""
"https://www.google.com/maps/place/KOWAWA+PSJ+UI+Coffee+Shop/data=!4m7!3m6!1s0x2e69edd60b213ef3:0xa0004f42a0accab0!8m2!3d-6.3617495!4d106.8281429!16s%2Fg%2F11jmywl5xn!19sChIJ8z4hC9btaS4RsMqsoEJPAKA?authuser=0&hl=id&rclk=1","KOWAWA PSJ UI Coffee Shop","4,6","(106)","","","Kedai Kopi","·","","·","Universitas Indonesia, Kantin PSJ UI Pusat Studi Jepang, Jl. Prof. DR. Selo Soemardjan","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0MaBjVaIbKOIdQyZdPd7YWWsDbNrkHTe3o9rou4RjHjHyH4k6wX21SfGanj-QDOMvptfp38R95c-AV48M_l7MnKjH4n8GadU5I-DNQHb6lPs-CcsJYz5zpsY1cIYoj6j025DY=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Suka banget sama Steak Kampusnya yang harganya sangat ekonomis.""","","",""
"https://www.google.com/maps/place/Sahuta+Coffee+and+Eatery/data=!4m7!3m6!1s0x2e69edf34ad5bf57:0x527fcc5e180ea0b0!8m2!3d-6.3686271!4d106.8180984!16s%2Fg%2F11rfspw71y!19sChIJV7_VSvPtaS4RsKAOGF7Mf1I?authuser=0&hl=id&rclk=1","Sahuta Coffee and Eatery","4,6","(59)","·","Rp 25–50 rb","Kedai Kopi","·","","Jl. Palakali No.55c, RT./rw/RW.007/005","","Buka","· Tutup pukul 01.05","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE8fAdIaXiKTZUN1xkBKXvp2M_YdP_umIBvrbIwi1d5FXFKiQnT0PXoQbnFgqxqys11czT2evUl8srH70OmGjHG7tf1Z4r4FblF-LYKUzKIO6jP4xBSQTwdZQBmL5eTj1e69dhFrg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Penjualnya ramah
Es nya enak
Harga terjangkau .""","","",""
"https://www.google.com/maps/place/Tens+Coffee+Kantin+Vokasi+UI/data=!4m7!3m6!1s0x2e69ed6df8f472a5:0x5f616297cf3a8408!8m2!3d-6.3688523!4d106.8217531!16s%2Fg%2F11ks6jynf_!19sChIJpXL0-G3taS4RCIQ6z5diYV8?authuser=0&hl=id&rclk=1","Tens Coffee Kantin Vokasi UI","5,0","(262)","·","Rp 1–25.000","Kedai Kopi","·","","Universitas Indonesia, Kantin vokasi ui","","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHR_dI46iUC39Hj97aghXfdqdUxtVnRCR16huPWpyzaOY3OmuD1AD2O-RBmYbP3jof6EHTsTMDZjNfWEb6kj9mSCGARe-KigT8XU3g0zzbD6aRdJcdgFhO7luM6GtOVuXHhfn4m=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanan dan minumannya enak enak pas banget buat jajanan abis makan👍🏻""","","",""
"https://www.google.com/maps/place/Javaroma+UI/data=!4m7!3m6!1s0x2e69eddecc088aa9:0x693115f6b4d80cfd!8m2!3d-6.3653167!4d106.8297521!16s%2Fg%2F11hzcrf7wb!19sChIJqYoIzN7taS4R_QzYtPYVMWk?authuser=0&hl=id&rclk=1","Javaroma UI","4,3","(100)","·","Rp 25–50 rb","Kedai Kopi","·","","JRMH+VWC Perpustakaan Universitas Indonesia","","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFzp82iOql-xSQ1CC0jddlQFVJgSUgMMPfC50c08Aq5Fyvj8-9ROBeJAyOx3--YhltJB50rvIg45T3rXCbPePSXehlo2Tb5DaFK28Uq1rfWLAGP2XGrhZAwcymI6tSVSlPBqLIWrQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bagusss sekali, makanan dan minumannya enak enak 😍🤤""","","",""
