"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 6","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Sambal+Bakar+Indonesia,+Dramaga+IPB+Bogor/data=!4m7!3m6!1s0x2e69c5e97275540d:0xd698de6311d8275b!8m2!3d-6.5699742!4d106.7392594!16s%2Fg%2F11vc6wvs8b!19sChIJDVR1cunFaS4RWyfYEWPemNY?authuser=0&hl=id&rclk=1","Sambal Bakar Indonesia, Dramaga IPB Bogor","4,9","(11.603)","·","Rp 25–50 rb","Indonesia","·","Jl. Raya Cibungbulang - Bogor No.41, RT.01/RW.01","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFnwKCy4Q_32OZGsb1htDUNI17rn9DdKIa0u6eIohBLfRb0BYYyQN8cgY9or9SvIhQ0hlGvut6mbHPVNhGcGJfkt7kV1NWzR1wsQKij6ABHeuUT6lo1wqPRr23pbfobPmvTY6plFkeR9TQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""rasa makanannya enak, matangnya pas, es cendolnya juga enak banget.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2YzZ3dnM4YhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=bKH4aYzBD6yQ4-EPmKSLiQE&ei=bKH4aYzBD6yQ4-EPmKSLiQE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Palem+Merah/data=!4m7!3m6!1s0x2e69c4c77b7c16ed:0x166dbaed70323aa9!8m2!3d-6.5725658!4d106.7442105!16s%2Fg%2F11r8z_m0z!19sChIJ7RZ8e8fEaS4RqToycO26bRY?authuser=0&hl=id&rclk=1","Palem Merah","4,5","(174)","·","Rp 25–50 rb","Prasmanan","·","·","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFyG6neQyoowiwOB2TyDlwVVctrVI--2PkgCtsesC1Uj50TzBeAMeol0gWTQC8qHf4XGNZlYFJOg___WkwA_L58t-8cXvhKZh8-onV4zLF64Wwx-_CvaODa7ciLbvL0RNPgGgYZ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak enak khas sunda dengan harga yang oke juga""","","","","","Jl. Raya Dramaga No.Km. 7 No.43, RT.02/RW.04","",""
"https://www.google.com/maps/place/serbasambaldramaga/data=!4m7!3m6!1s0x2e69c4c721cd301d:0xf513d3337c5fc17f!8m2!3d-6.5709888!4d106.739806!16s%2Fg%2F11c1vkvvtf!19sChIJHTDNIcfEaS4Rf8FffDPTE_U?authuser=0&hl=id&rclk=1","serbasambaldramaga","4,3","(1.256)","·","Rp 25–50 rb","Indonesia","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFilAJyL6SkyQmZMCaOealdKUGJejUwR4H9RoAg_gxixJavyOEavEFuzB1wyUm7riFzAcuE9XvPcj0hkp8shxT7KLEfZ3b1hZImRpcMy6AWQv9nJOPHSm6m0lA1TTWxz2JJeqbqpA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjMXZrdnZ0ZhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=bKH4aYzBD6yQ4-EPmKSLiQE&ei=bKH4aYzBD6yQ4-EPmKSLiQE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Raya Dramaga No.km7 3, RT.02/RW.06","Makanan","enak, harganya cukup murah karena di pisah2 sambel sayur dll."""
"https://www.google.com/maps/place/Sangra+Coffee/data=!4m7!3m6!1s0x2e69c5e781f6a5c3:0x3bac3e6db5f5eb4f!8m2!3d-6.6009953!4d106.8058105!16s%2Fg%2F1ptywqq9b!19sChIJw6X2gefFaS4RT-v1tW0-rDs?authuser=0&hl=id&rclk=1","Sangra Coffee","4,5","(1.061)","·","Rp 50–75 rb","Restoran","·","Kampus IPB, Jl. Raya Pajajaran No.1, RT.02/RW.05","Segera tutup","· 21.00 · Buka Sel pukul 09.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHH_6HSdPg5uLVXPD8XhTuNXXLnVLevj6JHnEtkD24V4vaplKGgdMhLiO8qArMWCqqzYox0HmaS3NpQO0q-bMy2EOFhHMMUqIg9vwAr6xMgJmQGHd5dgVuQ6ob5XDS7qRyec-48=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","","Kafe santai dengan meja outdoor","Makanan","beraneka ragam dan enak enak dengan harga yang reasonable."""
"https://www.google.com/maps/place/Yellow+Corner+IPB/data=!4m7!3m6!1s0x2e69c4b1a891da37:0x8212bcccfc6e3b1c!8m2!3d-6.5608919!4d106.7316265!16s%2Fg%2F11c5_p_2ml!19sChIJN9qRqLHEaS4RHDtu_My8EoI?authuser=0&hl=id&rclk=1","Yellow Corner IPB","4,3","(123)","·","Rp 1–25.000","Restoran","·","·","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGVDaz7B2cIIvPrZiRbk4_ERbKqZ9Z7jlnppYRZlwn5FwpLbS9D4k3PBCAuxES69ZKcPmHEEvAy4v2ekSA_ZFEGWE85WxrYdj7GDtOXDlrnOsZKMhSJjNJCd0FnLPkajW4aZtHmhw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","","Jl. Babakan Raya No.158","Makanan","di Warung Indonesia Timur, Yellow Corner IPB Darmaga👌👌"""
"https://www.google.com/maps/place/Bento+Kopi+IPB+Bogor/data=!4m7!3m6!1s0x2e69c5c88b402ff5:0x43ade40a92fb81a3!8m2!3d-6.567586!4d106.735084!16s%2Fg%2F11vdrk8y23!19sChIJ9S9Ai8jFaS4Ro4H7kgrkrUM?authuser=0&hl=id&rclk=1","Bento Kopi IPB Bogor","4,7","(1.182)","·","Rp 25–50 rb","Kedai Kopi","·","CPMP+32G","Buka","· Tutup pukul 01.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGGrGGeMFCoAItPWkm4mo3jS4XSfmAwVJ6tzCSqMkVmp-7K-_XbRoYvaiOFCi9kzk7Ucy5TJ9aUF1rG6HhIJnb_aduPDR4w3WBDWNSh1rqJ4tAYGibJL76KpfxOaLVcG6NJ7iCO=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman, makanannya enak dan harganya terjangkau""","","","","","","",""
"https://www.google.com/maps/place/Tepi+Danau+Cafe+and+Resto/data=!4m7!3m6!1s0x2e69c389e8f3f2b9:0x6f2fdd721f83f41!8m2!3d-6.545988!4d106.731647!16s%2Fg%2F11h2j7hffq!19sChIJufLz6InDaS4RQT_4Idf98gY?authuser=0&hl=id&rclk=1","Tepi Danau Cafe and Resto","4,3","(2.977)","·","Rp 25–50 rb","Restoran","·","","Tutup","· Buka Sel pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG08nCZnJ5fR8x40OAghZSJ2Ddf9Fy9aUu7ABFLLbl89RDuvPoFrWuBe9TyE7HvCGgNJDuidpGG5jn3Sko0vAZBa2u5jJl9FsCD_fQMLfJr7vMqKB7xcLiAdtJkOYPrXVBjvgyVwy2ZZ7dT=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""suasana ademm sekali makanannya enak harganya dan pelayanannya oke🥰""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoMmo3aGZmcRgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=bKH4aYzBD6yQ4-EPmKSLiQE&ei=bKH4aYzBD6yQ4-EPmKSLiQE&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Ayam+Crisbar+IPB/data=!4m7!3m6!1s0x2e69c542d7f4e145:0xf1a8f75a9e79b174!8m2!3d-6.5588773!4d106.7342611!16s%2Fg%2F11tf145jxx!19sChIJReH010LFaS4RdLF5nlr3qPE?authuser=0&hl=id&rclk=1","Ayam Crisbar IPB","4,9","(6.434)","·","Rp 25–50 rb","Makanan Siap Saji","·","·","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHNsgPLDd_zFx42xZ4lBBJuoXF1GAGKqy503A37Mxi04FM4_k4UwKZRzHT8o0fUj_d-YkchWE3NcsH77HPo-w92Qoj3xiXH1szcwtQpe_o1_CEXemnFoF-1vCPmOBxACIi9ePot4g=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ayamnya enakk empuk, crispy, crispy kale nya juga enakk!!""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF0ZjE0NWp4eBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=bKH4aYzBD6yQ4-EPmKSLiQE&ei=bKH4aYzBD6yQ4-EPmKSLiQE&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Babakan Tengah No.25, RT.2/RW.8","",""
